"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.877763433E2,3.354994965E1,-3.289633036E0,-1.529655457E1
2.877863529E2,3.277901459E1,-3.280056238E0,-1.760456467E1
2.877963628E2,2.893153381E1,-4.307168961E0,-1.974737549E1
2.878063421E2,2.244324684E1,-5.446808815E0,-1.855266953E1
2.878163517E2,1.630930138E1,-6.593631268E0,-1.460223579E1
2.878263616E2,1.231816769E1,-7.754819393E0,-9.378087997E0
2.878363409E2,9.962273598E0,-8.674192429E0,-3.672705412E0
2.878463505E2,7.884106159E0,-9.124302864E0,1.984793186E0
2.878563603E2,5.844246387E0,-9.375694275E0,5.276820660E0
2.878663396E2,3.900154591E0,-9.670180321E0,6.452373505E0
2.878763493E2,2.375048161E0,-9.737217903E0,6.057330132E0
2.878863591E2,1.288080573E0,-9.696516991E0,4.905719280E0
2.878963384E2,9.433154464E-1,-1.015380955E1,3.562572241E0
2.879063480E2,1.302445769E0,-1.066137981E1,2.655169725E0
2.879163579E2,1.266532660E0,-1.096544361E1,1.790862918E0
2.879263372E2,5.410895944E-1,-1.162145519E1,8.906430602E-1
2.879363468E2,-9.050082564E-1,-1.245703125E1,1.915361360E-2
2.879463566E2,-3.110068083E0,-1.326148319E1,-9.097966552E-1
2.879563359E2,-5.300762653E0,-1.408987713E1,-1.946485996E0
2.879663456E2,-7.173028469E0,-1.462378407E1,-2.480392933E0
2.879763554E2,-8.379706383E0,-1.496615505E1,-2.382230759E0
2.879863347E2,-8.944737434E0,-1.557667637E1,-2.250549555E0
2.879963446E2,-8.947132111E0,-1.565807915E1,-1.455674648E0
2.880063542E2,-7.462726593E0,-1.591186428E1,-5.530605912E-1
2.880163335E2,-3.660734415E0,-1.548330212E1,3.519476354E-1
2.880263433E2,-8.020575643E-1,-1.493024158E1,1.142034173E0
2.880363529E2,2.516305923E0,-1.491587639E1,8.954314590E-1
2.880463323E2,4.778826714E0,-1.409945393E1,-2.729389966E-1
2.880563421E2,5.142745018E0,-1.363497829E1,-2.722207308E0
2.880663517E2,4.807557106E0,-1.361582470E1,-6.349422932E0
2.880763616E2,6.856993675E0,-1.206917095E1,-6.890512466E0
2.880863409E2,1.233492756E1,-1.031900978E1,-5.760449409E0
2.880963505E2,2.269463730E1,-8.022970200E0,-2.497152328E0
2.881063603E2,3.415089417E1,-4.242525578E0,1.297657371E0
2.881163396E2,4.363671875E1,-1.209071875E0,1.836352706E0
2.881263493E2,4.729985046E1,2.296039343E0,2.873042040E-2
2.881363591E2,4.692874908E1,6.521805286E0,-3.543418407E0
2.881463384E2,4.371812439E1,9.174580574E0,-8.341399193E0
2.881563480E2,3.792415619E1,1.112585545E1,-1.256955910E1
2.881663579E2,3.238157654E1,1.171004009E1,-1.487517548E1
2.881763372E2,2.873520851E1,1.152089882E1,-1.473152351E1
2.881863468E2,2.630509377E1,1.135330486E1,-1.227746677E1
2.881963566E2,2.427241707E1,1.098459721E1,-8.963891029E0
2.882063359E2,2.149035454E1,1.043393135E1,-5.408501625E0
2.882163456E2,1.888546371E1,9.713275909E0,-2.810792685E0
2.882263554E2,1.662294197E1,9.162610054E0,-9.050082564E-1
2.882363347E2,1.480334949E1,8.779537201E0,4.740519226E-1
2.882463446E2,1.336203957E1,8.418013573E0,1.561019540E0
2.882563542E2,1.249773312E1,8.384494781E0,2.513911724E0
2.882663335E2,1.207635307E1,8.638279915E0,3.095702887E0
2.882763433E2,1.084094524E1,8.916007042E0,3.227383852E0
2.882863529E2,8.908824921E0,8.956708908E0,3.282450438E0
2.882963323E2,7.304709435E0,9.071630478E0,3.323152065E0
2.883063421E2,5.729324818E0,9.342175484E0,3.368641853E0
2.883163517E2,4.115632534E0,9.909601212E0,3.825934410E0
2.883263616E2,2.272097349E0,1.093910789E1,4.663905144E0
2.883363409E2,7.182605267E-1,1.205241108E1,5.683835030E0
2.883463505E2,-2.753331959E-1,1.329739666E1,6.787561893E0
2.883563603E2,-1.556231081E-1,1.445858383E1,8.245630264E0
2.883663396E2,1.096544385E0,1.485123348E1,9.344569206E0
2.883763493E2,2.983175278E0,1.443464184E1,1.044829655E1
2.883863591E2,4.422090530E0,1.365413189E1,1.145864964E1
2.883963384E2,6.363788128E0,1.285446930E1,1.228225517E1
2.884063480E2,8.343792915E0,1.177229023E1,1.265575027E1
2.884163579E2,1.131739140E1,1.060870743E1,1.221042824E1
2.884263372E2,1.663491249E1,1.019690514E1,1.202128696E1
2.884363468E2,2.016636086E1,1.048660374E1,1.201889229E1
2.884463566E2,2.387258530E1,1.144428444E1,1.153765774E1
2.884563359E2,3.155318451E1,1.362061310E1,1.138442898E1
2.884663456E2,4.157052231E1,1.586158657E1,1.065659142E1
2.884763554E2,5.346252441E1,1.596214294E1,1.024478912E1
2.884863347E2,6.067385864E1,1.403002167E1,1.085531044E1
2.884963446E2,5.599319458E1,9.483432770E0,9.042900085E0
2.885063542E2,4.701254272E1,3.763684988E0,4.465186119E0
2.885163335E2,3.834553528E1,2.777273953E-1,4.285621047E-1
2.885263433E2,3.263775635E1,-1.177947283E0,-3.418920040E0
