"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.386467543E0,-2.443460934E-2,-3.280346394E-1,1.172861218E0
2.396423236E0,-5.387831330E-1,-6.401867867E-1,1.587027907E0
2.406456466E0,-1.050688267E0,-9.340129495E-1,2.045176744E0
2.416442851E0,-1.459357023E0,-1.178359032E0,2.458732605E0
2.426444774E0,-1.679268599E0,-1.351233959E0,2.777604342E0
2.436431851E0,-1.699427128E0,-1.499063253E0,3.011565685E0
2.446463236E0,-1.626123309E0,-1.780061364E0,3.235753298E0
2.456420159E0,-1.731802940E0,-2.373822451E0,3.723223686E0
2.466451236E0,-2.129476309E0,-3.119688749E0,4.576602459E0
2.476439774E0,-2.625498772E0,-3.669467449E0,5.582697392E0
2.486439544E0,-3.030502558E0,-3.800192595E0,6.538090706E0
2.496428697E0,-3.251635790E0,-3.623652697E0,7.188051224E0
2.506459236E0,-3.227200985E0,-3.448945284E0,7.323052406E0
2.516417697E0,-2.869844913E0,-3.279124737E0,6.941872597E0
2.526448159E0,-2.259590626E0,-3.014620066E0,6.200282097E0
2.536437390E0,-1.731192112E0,-2.744617462E0,5.442198277E0
2.546470544E0,-1.674381614E0,-2.533258200E0,4.828889847E0
2.556426851E0,-2.150856495E0,-2.313957453E0,4.343251705E0
2.566459544E0,-2.882673025E0,-2.009746552E0,3.940080881E0
2.576446313E0,-3.497814417E0,-1.676214218E0,3.563787937E0
2.586448467E0,-3.797749281E0,-1.423926830E0,3.161838531E0
2.596435544E0,-3.687793493E0,-1.446528912E0,2.601064205E0
2.606467775E0,-3.360980511E0,-1.612684250E0,2.324342251E0
2.616424467E0,-2.970637798E0,-1.813048005E0,2.081828833E0
2.626456698E0,-2.628553152E0,-1.933388472E0,1.809993744E0
2.636443852E0,-2.408641577E0,-1.961488247E0,1.494176388E0
2.646443775E0,-2.341446400E0,-1.883297563E0,1.182635069E0
2.656433005E0,-2.389093876E0,-1.709200978E0,8.973610401E-1
2.666463236E0,-2.476447821E0,-1.459967971E0,6.371324658E-1
2.676422005E0,-2.521651745E0,-1.193630695E0,3.897320330E-1
2.686453082E0,-2.464841366E0,-9.346238375E-1,1.319468915E-1
2.696441390E0,-2.292577267E0,-6.792821288E-1,-1.307251602E-1
2.706443852E0,-2.031126976E0,-4.227187634E-1,-4.269948006E-1
2.716430544E0,-1.700037956E0,-1.459967941E-1,-7.910705209E-1
2.726463544E0,-1.314581990E0,1.569923609E-1,-1.199128509E0
2.736419467E0,-8.918632865E-1,4.886921942E-1,-1.616349459E0
2.746452775E0,-4.538728893E-1,8.704829812E-1,-2.025018215E0
2.756439160E0,-2.687807009E-2,1.282206178E0,-2.409863472E0
2.766441929E0,3.671300113E-1,1.699427128E0,-2.773939133E0
2.776428160E0,7.183775306E-1,2.134974003E0,-3.090367317E0
2.786461390E0,1.036638379E0,2.536923409E0,-3.318830967E0
2.796447544E0,1.378111959E0,2.822808266E0,-3.467271090E0
2.806449698E0,1.766622305E0,3.004846096E0,-3.554624796E0
2.816436467E0,2.114815474E0,3.183218718E0,-3.598607063E0
2.826467160E0,2.326174736E0,3.368921757E0,-3.562566042E0
2.836425698E0,2.367713690E0,3.601050615E0,-3.426954031E0
2.846458006E0,2.304794550E0,3.865555286E0,-3.244305372E0
2.856445083E0,2.320677042E0,4.010330200E0,-3.064100027E0
2.866446929E0,2.671924591E0,3.757432222E0,-3.018896103E0
2.876434237E0,3.486818790E0,3.127019167E0,-3.210096836E0
2.886466544E0,4.886921883E0,1.847256541E0,-3.810577393E0
2.896423160E0,5.361564159E0,1.232726097E0,-4.255287170E0
2.906455545E0,5.309030056E0,1.142318010E0,-4.543004990E0
2.916442621E0,4.798346519E0,1.444696307E0,-4.661512852E0
2.926444468E0,3.974900246E0,1.885740995E0,-4.646241188E0
2.936431775E0,3.043330669E0,2.349998713E0,-4.473366261E0
2.946464391E0,2.178345442E0,2.672535419E0,-4.167933464E0
2.956421006E0,1.513724089E0,2.837469101E0,-3.764762402E0
2.966455545E0,1.097113967E0,2.883283854E0,-3.284011602E0
2.976440160E0,9.187413454E-1,2.768441200E0,-2.773328304E0
2.986442314E0,9.804387093E-1,2.403143883E0,-2.266921043E0
2.996429314E0,1.228450060E0,1.882686734E0,-1.773341775E0
3.006461699E0,1.514945865E0,1.453859329E0,-1.350012183E0
3.016418314E0,1.665218711E0,1.223563075E0,-1.066570759E0
3.026450622E0,1.615738630E0,1.116661668E0,-8.943067193E-1
3.036437929E0,1.418429136E0,1.116661668E0,-7.507534027E-1
3.046470314E0,1.168585181E0,1.119105101E0,-6.230825782E-1
3.056426622E0,9.633345008E-1,1.122159481E0,-4.862487316E-1
3.066459237E0,8.277224302E-1,1.138041973E0,-3.506366611E-1
3.076446545E0,7.367035151E-1,1.122770309E0,-2.583959997E-1
3.086446237E0,6.291912198E-1,1.015868902E0,-2.046398520E-1
3.096435468E0,4.563163519E-1,8.045095205E-1,-1.240056455E-1
3.106468468E0,1.740965992E-1,4.752531648E-1,7.941248268E-2
3.116424391E0,-2.272418737E-1,1.832595654E-2,4.569272101E-1
3.126457083E0,-7.049384713E-1,-4.935791194E-1,9.975429177E-1
3.136443853E0,-1.188743711E0,-9.871582389E-1,1.640784025E0
3.146446622E0,-1.587027907E0,-1.452026725E0,2.315179348E0
3.156433007E0,-1.836260915E0,-1.892460585E0,2.891225100E0
3.166465622E0,-1.924225569E0,-2.229047298E0,3.287676811E0
3.176421930E0,-1.838093519E0,-2.476447821E0,3.624263525E0
3.186454545E0,-1.819156647E0,-2.696969986E0,3.918700457E0
3.196441622E0,-1.984701157E0,-3.117245436E0,4.487416267E0
3.206441391E0,-2.271197081E0,-3.619376659E0,5.318803787E0
3.216430545E0,-2.508212805E0,-4.083023071E0,6.294966221E0
3.226460776E0,-2.508212805E0,-4.543615818E0,7.200879574E0
3.236419545E0,-2.164906502E0,-4.904026031E0,7.852672577E0
3.246450007E0,-1.593747377E0,-4.994434357E0,8.117788315E0
3.256439161E0,-1.059240341E0,-4.650516987E0,7.855727196E0
3.266439161E0,-8.258898258E-1,-3.688404322E0,7.065878391E0
3.276428084E0,-1.005484223E0,-2.477669477E0,6.155689240E0
3.286460699E0,-1.629177570E0,-1.533271790E0,5.373170853E0
3.296447545E0,-2.500882387E0,-1.046412110E0,4.723209858E0
3.306449622E0,-3.287676811E0,-9.224064946E-1,4.225965977E0
3.316436699E0,-3.762319088E0,-9.822713137E-1,3.832568645E0
3.326469084E0,-3.835622787E0,-1.156367898E0,3.454442978E0
3.336425699E0,-3.537520647E0,-1.390940189E0,3.052493572E0
3.346458007E0,-2.994461536E0,-1.607186437E0,2.649933338E0
3.356445315E0,-2.409252644E0,-1.772120118E0,2.273640394E0
3.366477007E0,-1.924836397E0,-1.863139033E0,1.937664509E0
3.376434238E0,-1.613295078E0,-1.839926124E0,1.660331726E0
3.386464392E0,-1.536326051E0,-1.675603390E0,1.427592039E0
3.396423238E0,-1.676825047E0,-1.399492264E0,1.177748203E0
3.406606007E0,-1.915062547E0,-1.059240341E0,8.918632865E-1
3.416442853E0,-2.131308794E0,-6.756169796E-1,5.668829679E-1
3.426443161E0,-2.254092693E0,-3.304781020E-1,2.345722616E-1
3.436431853E0,-2.237599373E0,-9.773843922E-3,-1.142318025E-1
3.446463853E0,-2.071444035E0,3.109304011E-1,-5.137376785E-1
3.456420161E0,-1.775174379E0,6.224716902E-1,-9.388998747E-1
3.466453315E0,-1.097724795E0,1.040914416E0,-1.588860512E0
3.476439777E0,-5.571091175E-1,1.316414595E0,-2.067167997E0
3.486442546E0,-3.848451003E-2,1.609019041E0,-2.517375708E0
3.496428777E0,3.988949955E-1,1.927890658E0,-2.880840540E0
3.506462007E0,7.226535678E-1,2.311514139E0,-3.147788525E0
3.516417700E0,9.560040832E-1,2.755002260E0,-3.332880735E0
3.526450546E0,1.128268123E0,3.238807440E0,-3.521638155E0
3.536437315E0,1.310916781E0,3.640146017E0,-3.775758028E0
3.546470546E0,1.598023534E0,3.905872345E0,-4.029267311E0
3.556426931E0,1.968818665E0,4.081801414E0,-4.145942211E0
3.566459546E0,2.357939959E0,4.237572193E0,-4.137390137E0
3.576446315E0,2.753780603E0,4.466646671E0,-3.984673977E0
3.586448162E0,3.243083477E0,4.511850834E0,-3.602883101E0
3.596435469E0,3.885102987E0,4.274224281E0,-3.303559303E0
3.606467777E0,4.583322048E0,3.792862415E0,-3.524081707E0
3.616424469E0,5.165476322E0,3.075706482E0,-4.201530933E0
3.626456777E0,5.384166241E0,2.373822451E0,-4.842329025E0
3.636444085E0,5.026199341E0,2.154521704E0,-5.210069656E0
3.646445931E0,4.147164345E0,2.498438835E0,-5.368283749E0
3.656433008E0,3.054326296E0,3.028059006E0,-5.335297108E0
3.666465623E0,2.098932981E0,3.452610254E0,-5.136765957E0
3.676422008E0,1.469741821E0,3.698178291E0,-4.848437309E0
3.686452393E0,1.155757070E0,3.640756845E0,-4.495968342E0
3.696441393E0,1.089172721E0,3.332269907E0,-4.070806026E0
3.706441316E0,1.191187263E0,2.868623257E0,-3.574172497E0
3.716430546E0,1.411709547E0,2.383596182E0,-3.047606707E0
3.726462931E0,1.648114443E0,2.009135723E0,-2.578462124E0
3.736419546E0,1.778839588E0,1.733024716E0,-2.166128159E0
3.746450008E0,1.750128984E0,1.654223084E0,-1.788613439E0
3.756438931E0,1.454470158E0,1.724472642E0,-1.295034289E0
3.766438931E0,1.174693823E0,1.710422635E0,-9.914342761E-1
3.776428085E0,8.985827565E-1,1.624290705E0,-7.739662528E-1
3.786458316E0,6.780604124E-1,1.501506805E0,-6.658431292E-1
3.796447777E0,5.363397002E-1,1.365894675E0,-6.139195561E-1
3.806447470E0,4.483750761E-1,1.257771492E0,-5.558874011E-1
3.816436701E0,3.237585723E-1,1.165530920E0,-4.465425014E-1
3.826469701E0,9.040805697E-2,9.639453292E-1,-2.028072625E-1
3.836425624E0,-2.681698501E-1,5.619960427E-1,2.235766798E-1
3.846458008E0,-7.098253965E-1,-2.443460980E-3,7.794640660E-1
3.856445085E0,-1.129489779E0,-7.128797174E-1,1.361618638E0
3.866447854E0,-1.399492264E0,-1.546099901E0,1.855197787E0
3.876434239E0,-1.468520045E0,-2.384817839E0,2.157576084E0
3.886466624E0,-1.311527729E0,-3.218648911E0,2.299296856E0
3.896423162E0,-9.266825914E-1,-3.886324644E0,2.362826824E0
3.906453393E0,-3.121521473E-1,-4.483750820E0,2.426356792E0
3.916442855E0,4.373795092E-1,-5.095838070E0,2.652376890E0
