"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.632541852E0,2.034181207E-1,1.527163107E-2,1.339016676E0
2.642530083E0,1.667662114E-1,-1.783726513E-1,9.938777685E-1
2.652531006E0,1.313360333E-1,-3.903428912E-1,6.444628239E-1
2.662519083E0,8.246681094E-2,-5.766568184E-1,3.109304011E-1
2.672552621E0,-2.565634064E-2,-7.861835957E-1,-1.117883399E-1
2.682508006E0,-1.154535338E-1,-8.680394888E-1,-3.255911767E-1
2.692541545E0,-2.058615834E-1,-9.144652486E-1,-5.186246037E-1
2.702527621E0,-2.895501256E-1,-9.022479653E-1,-7.147123218E-1
2.712527698E0,-3.769038618E-1,-8.692612648E-1,-8.839219809E-1
2.722516622E0,-4.721988440E-1,-8.558222055E-1,-1.010371089E0
2.732547622E0,-5.797111392E-1,-8.607091308E-1,-1.111163855E0
2.742505775E0,-6.945537925E-1,-8.772025108E-1,-1.213789225E0
2.752536545E0,-7.971791625E-1,-8.906415105E-1,-1.310305953E0
2.762525237E0,-8.619308472E-1,-8.784242272E-1,-1.381777167E0
2.772558160E0,-8.686503768E-1,-8.228355050E-1,-1.426981211E0
2.782514160E0,-8.185594082E-1,-7.354817390E-1,-1.451415777E0
2.792547083E0,-7.165449262E-1,-6.224716902E-1,-1.467298269E0
2.802533853E0,-5.797111392E-1,-5.033529401E-1,-1.481959105E0
2.812536237E0,-4.214970171E-1,-3.744603992E-1,-1.497841597E0
2.822522776E0,-2.486221492E-1,-2.412917763E-1,-1.526552200E0
2.832555622E0,-7.269296050E-2,-1.069014147E-1,-1.584584475E0
2.842511699E0,9.224065393E-2,2.871066704E-2,-1.659720898E0
2.852544930E0,2.370157093E-1,1.447750628E-1,-1.725083470E0
2.862531314E0,3.610213697E-1,2.333505303E-1,-1.766011477E0
2.872533545E0,4.593706727E-1,3.249803185E-1,-1.775785327E0
2.882520314E0,5.302310586E-1,3.830125034E-1,-1.734857321E0
2.892553237E0,5.766568184E-1,3.866777122E-1,-1.643227458E0
2.902509468E0,6.004805565E-1,3.714060783E-1,-1.522276163E0
2.912542160E0,6.157521605E-1,3.775147200E-1,-1.391551018E0
2.922528930E0,6.298020482E-1,3.964515328E-1,-1.266323686E0
2.932531391E0,6.175847650E-1,4.129449129E-1,-1.147815824E0
2.942518084E0,5.558874011E-1,4.019493461E-1,-1.026253581E0
2.952548622E0,4.581489265E-1,3.488040566E-1,-9.059131742E-1
2.962507007E0,2.736676335E-1,1.368338168E-1,-7.354817390E-1
2.972537853E0,1.649336219E-1,-4.764748737E-2,-6.139195561E-1
2.982525468E0,7.696902007E-2,-2.382374406E-1,-4.813618064E-1
2.992526084E0,0.000000000E0,-4.208861589E-1,-3.353650272E-1
3.002514776E0,-5.192354694E-2,-5.699372888E-1,-1.850921661E-1
3.012545545E0,-6.780604273E-2,-6.328563690E-1,-2.626720630E-2
3.022534391E0,-4.337143153E-2,-5.815436840E-1,1.447750628E-1
3.032534699E0,-2.443460980E-3,-4.214970171E-1,3.335324228E-1
3.042523392E0,4.825835302E-2,-1.624901593E-1,5.265658498E-1
3.052554084E0,1.056796908E-1,1.588249654E-1,7.165449262E-1
3.062512545E0,1.643227488E-1,5.277875662E-1,9.083566070E-1
3.072545238E0,2.028072625E-1,9.169087410E-1,1.093448758E0
3.082532545E0,2.156354338E-1,1.286482215E0,1.254717231E0
3.092534776E0,1.912008226E-1,1.587638736E0,1.392161846E0
3.102521469E0,1.307251602E-1,1.798998117E0,1.514945865E0
3.112554161E0,4.886921868E-2,1.893682241E0,1.621236324E0
3.122510699E0,-4.031710699E-2,1.843591332E0,1.706146598E0
3.132543315E0,-1.466076523E-1,1.700648785E0,1.777006984E0
3.142530084E0,-2.541199327E-1,1.530828357E0,1.849089146E0
3.152532546E0,-3.249803185E-1,1.306029916E0,1.923003793E0
3.162519084E0,-3.769038618E-1,1.087950945E0,1.985312104E0
3.172552007E0,-4.221078753E-1,9.120218158E-1,2.021964073E0
3.182508007E0,-4.544837475E-1,7.605272532E-1,2.040900707E0
3.192540853E0,-4.813618064E-1,6.377432942E-1,2.043344259E0
3.202527623E0,-4.862487316E-1,5.510004759E-1,2.065335512E0
3.212530161E0,-4.630358517E-1,5.351179838E-1,2.110539436E0
3.222516623E0,-4.105014503E-1,6.169738770E-1,2.153910875E0
3.232547392E0,-3.622430861E-1,9.608910084E-1,2.111150265E0
3.242505777E0,-2.987131178E-1,1.048244715E0,1.963931799E0
3.252538700E0,-3.207042515E-1,1.317636371E0,1.740355134E0
3.262525161E0,-3.927863538E-1,1.303586483E0,1.580919266E0
3.272558084E0,-4.789183438E-1,1.238223910E0,1.433089852E0
3.282514161E0,-5.638286471E-1,1.131933331E0,1.249830246E0
3.292547315E0,-6.365215778E-1,1.003040791E0,1.050077319E0
3.302533854E0,-6.945537925E-1,8.735373020E-1,8.570439219E-1
3.312535700E0,-7.470881939E-1,7.104362845E-1,6.750060916E-1
3.322522777E0,-8.038986921E-1,5.528330207E-1,5.222898126E-1
3.332555700E0,-8.442157507E-1,4.074471295E-1,4.080579877E-1
3.342511700E0,-8.503243923E-1,2.761110961E-1,3.152064681E-1
3.352544315E0,-8.319984674E-1,1.783726513E-1,2.449569702E-1
3.362531315E0,-7.916813493E-1,7.513642311E-2,2.278527319E-1
3.372533469E0,-7.574729323E-1,-2.932153270E-2,2.419026345E-1
3.382520238E0,-7.654141784E-1,-1.105666086E-1,2.565633953E-1
3.392553162E0,-8.008443117E-1,-2.058615834E-1,2.590068579E-1
3.402509239E0,-8.356636763E-1,-3.274237812E-1,2.321287990E-1
3.412542085E0,-8.668177724E-1,-4.416555762E-1,1.844813079E-1
3.422528854E0,-8.802568316E-1,-5.644394755E-1,1.123992056E-1
3.432528854E0,-8.362745047E-1,-6.835582256E-1,4.276056774E-3
3.442517854E0,-7.305948138E-1,-8.020660877E-1,-1.014036313E-1
3.452548546E0,-5.760459304E-1,-8.979719281E-1,-1.979203373E-1
3.462506777E0,-3.885102868E-1,-9.517280459E-1,-3.378084898E-1
3.472537469E0,-1.960877478E-1,-9.547823668E-1,-5.412266254E-1
3.482526470E0,-6.108652451E-4,-9.230173826E-1,-7.843509912E-1
3.492526470E0,2.199114859E-1,-8.863654733E-1,-1.035416603E0
3.502515393E0,4.618141353E-1,-8.539896011E-1,-1.273043156E0
3.512546162E0,7.177666426E-1,-8.338310719E-1,-1.474017859E0
3.522535008E0,9.743300676E-1,-8.222246170E-1,-1.583973527E0
3.532537470E0,1.208902359E0,-8.436049223E-1,-1.599856019E0
3.542524008E0,1.422094345E0,-8.704829812E-1,-1.498452425E0
3.552556931E0,1.453248382E0,-8.570439219E-1,-1.390940189E0
3.562512931E0,1.414763927E0,-8.356636763E-1,-1.291980028E0
3.572543700E0,1.323134065E0,-7.867944241E-1,-1.240056396E0
3.582532547E0,1.207680583E0,-7.116580009E-1,-1.249219418E0
3.592532624E0,1.099557400E0,-6.395758986E-1,-1.312749386E0
3.602521470E0,1.020144939E0,-5.607742667E-1,-1.426981211E0
3.612584931E0,9.700540304E-1,-4.740314186E-1,-1.582751870E0
3.622510470E0,9.523389339E-1,-3.793473244E-1,-1.754405022E0
