"Time (s)","Illuminance (lx)"
5.361343090E2,7.000000000E0
5.361733142E2,2.000000000E0
5.362933345E2,3.000000000E0
5.363334381E2,6.000000000E0
5.363741539E2,1.000000000E1
5.364134612E2,1.400000000E1
5.364532665E2,1.800000000E1
5.364934431E2,2.000000000E1
5.365335557E2,2.100000000E1
5.365732929E2,2.300000000E1
5.367737360E2,2.100000000E1
5.368138756E2,1.900000000E1
5.368544416E2,1.800000000E1
5.368937797E2,1.700000000E1
5.369338581E2,1.600000000E1
5.369739286E2,1.400000000E1
5.370139855E2,1.200000000E1
5.370537667E2,1.100000000E1
5.370944006E2,1.000000000E1
5.372537779E2,1.100000000E1
5.372937507E2,1.200000000E1
5.373345553E2,1.300000000E1
5.373737517E2,1.500000000E1
5.374139496E2,1.600000000E1
5.374537778E2,1.800000000E1
5.374938616E2,2.100000000E1
5.375337290E2,2.400000000E1
5.375746477E2,2.700000000E1
5.376139950E2,2.900000000E1
5.376538816E2,3.000000000E1
5.377737400E2,2.900000000E1
5.378145357E2,2.600000000E1
5.378539037E2,2.400000000E1
5.378937701E2,2.000000000E1
5.379338717E2,1.600000000E1
5.379737493E2,1.200000000E1
5.380138899E2,8.000000000E0
5.380547353E2,5.000000000E0
5.380937447E2,2.000000000E0
5.381338985E2,1.000000000E0
5.382537680E2,2.000000000E0
5.382944089E2,5.000000000E0
5.383337739E2,9.000000000E0
5.383737499E2,1.300000000E1
5.384138760E2,1.700000000E1
5.384537523E2,1.900000000E1
5.384937390E2,2.000000000E1
5.385346407E2,2.100000000E1
5.386538643E2,2.000000000E1
5.386938658E2,1.800000000E1
5.387339216E2,1.600000000E1
5.387745138E2,1.400000000E1
5.388137501E2,1.100000000E1
5.388537520E2,1.000000000E1
5.388937570E2,8.000000000E0
5.389337499E2,7.000000000E0
5.393339960E2,9.000000000E0
5.393737447E2,1.200000000E1
5.394137957E2,1.600000000E1
5.394537381E2,2.000000000E1
5.394945880E2,2.400000000E1
5.395338169E2,2.700000000E1
5.395737646E2,2.900000000E1
5.396139296E2,3.000000000E1
5.397346778E2,2.800000000E1
5.397737637E2,2.400000000E1
5.398137800E2,1.800000000E1
5.398537793E2,1.300000000E1
5.398938335E2,9.000000000E0
5.399337403E2,7.000000000E0
5.400937391E2,9.000000000E0
5.401337582E2,1.000000000E1
5.401740489E2,1.300000000E1
5.402144012E2,1.600000000E1
5.402539227E2,1.800000000E1
5.402937468E2,1.900000000E1
5.404547659E2,1.500000000E1
5.404938877E2,1.000000000E1
5.405337277E2,7.000000000E0
5.405739090E2,6.000000000E0
5.406137695E2,5.000000000E0
5.406945526E2,4.000000000E0
5.407737333E2,5.000000000E0
5.408537791E2,6.000000000E0
5.408937375E2,1.000000000E1
5.409345600E2,1.700000000E1
5.409737770E2,2.500000000E1
5.410137603E2,3.200000000E1
5.410538877E2,3.500000000E1
5.410937363E2,3.700000000E1
5.411340012E2,3.800000000E1
5.411746588E2,4.000000000E1
5.412537517E2,4.100000000E1
5.412938741E2,4.300000000E1
5.413337665E2,4.500000000E1
5.414938554E2,4.100000000E1
5.415338739E2,3.200000000E1
5.415738705E2,2.200000000E1
5.416137634E2,1.300000000E1
5.416544212E2,6.000000000E0
5.416933864E2,3.000000000E0
5.417334883E2,1.000000000E0
5.417733110E2,0.000000000E0
5.418534550E2,1.000000000E0
5.419333535E2,3.000000000E0
5.419733117E2,8.000000000E0
5.420133803E2,1.200000000E1
5.420535117E2,1.700000000E1
5.420934230E2,2.000000000E1
5.421342314E2,2.200000000E1
5.421734659E2,2.300000000E1
5.422134594E2,2.400000000E1
5.424134572E2,2.300000000E1
5.424533606E2,2.100000000E1
5.424933049E2,1.900000000E1
